feature,logFC,p_emp,p_param,p_adj_emp,p_adj_param
ADCY9,-0.710769004529423,0.000999000999000999,3.81602895097258e-116,0.001593969646425,1.1795654895209e-113
ADCYAP1,-1.89707356864181,0.000999000999000999,5.9399729497115e-79,0.001593969646425,3.06015633449777e-77
ADD2,0.231610852701472,0.00599400599400599,0.00139014569896927,0.00842801162447093,0.00194531951047492
ADD3,-0.000868036988758369,0.955044955044955,0.96597055146689,0.956466650687316,0.969786270815206
ADGRA2,-0.317884944714149,0.000999000999000999,4.52394175321848e-19,0.001593969646425,1.54540985159975e-18
ADGRA3,0.684097264789419,0.000999000999000999,7.71608727291333e-80,0.001593969646425,4.12377991309858e-78
ADGRB1,0.9019825959367,0.000999000999000999,1.39128699772032e-30,0.001593969646425,8.3005474141509e-30
ADGRB2,-0.212037758441878,0.00899100899100899,0.000622744482140015,0.0123208926228337,0.000896792828284482
ADGRD1,-0.0869896711495561,0.18981018981019,0.190524195659169,0.214766436570948,0.216710614197307
ADGRE1,-0.627941732953152,0.000999000999000999,7.52955455187311e-26,0.001593969646425,3.62591643830622e-25
ADGRE2,-0.709501054767823,0.000999000999000999,1.50767934027709e-69,0.001593969646425,5.25711238254546e-68
ADGRE5,-0.409792559621157,0.000999000999000999,4.37622173799987e-31,0.001593969646425,2.69235330917184e-30
ADGRF1,-0.197618914437761,0.0579420579420579,0.0482936555449935,0.0706184267565342,0.0589534142884076
ADGRF5,-0.264074596015464,0.000999000999000999,2.66130983435207e-12,0.001593969646425,6.42274753650235e-12
ADGRG1,0.0882095572348582,0.0529470529470529,0.0211930089894992,0.0649041205311302,0.0268213393618349
ADGRG2,-0.893091144523316,0.000999000999000999,1.0502228940976e-22,0.001593969646425,4.31754106390881e-22
ADGRG5,-1.02969065938468,0.000999000999000999,2.90070164246344e-41,0.001593969646425,2.83792341187805e-40
ADGRG6,0.0977329565978509,0.102897102897103,0.0947953858875319,0.120899339000839,0.111943709694962
ADGRL1,-0.225923766197922,0.001998001998002,1.96928881226945e-07,0.00301347077029525,3.58186325475917e-07
ADGRL2,0.0813943802131174,0.117882117882118,0.111759220319843,0.137433005322914,0.130895054049979
ADGRL3,-0.239625276110639,0.003996003996004,0.000951999516713571,0.00576103588835216,0.00135103840087518
ADGRL4,-0.20644707954751,0.000999000999000999,5.54304128291572e-09,0.001593969646425,1.10889912808653e-08
ADGRV1,-0.302238268736625,0.003996003996004,0.000577474037393377,0.00576103588835216,0.000833068941179119
ADH1B,-0.0926556573803645,0.4995004995005,0.530383114366665,0.52901076143969,0.564068409802078
ADH1C,0.157220381472011,0.0699300699300699,0.0764710043932539,0.0842682762396175,0.0913323806647499
ADHFE1,0.532986564016574,0.000999000999000999,1.39444588215184e-25,0.001593969646425,6.65065786245648e-25
ADI1,0.315205242437431,0.000999000999000999,5.87974111288756e-29,0.001593969646425,3.2517697827899e-28
ADIPOQ,-0.671067995078981,0.000999000999000999,5.01444293520944e-06,0.001593969646425,8.35399619082161e-06
ADIPOR2,0.296400848890928,0.000999000999000999,2.85359638278033e-19,0.001593969646425,9.85701655990899e-19
ADIRF,-0.332797572438688,0.000999000999000999,3.86022423873183e-07,0.001593969646425,6.91454731689522e-07
ADISSP,0.123484149396724,0.000999000999000999,8.72743811284692e-06,0.001593969646425,1.42818299751939e-05
ADM,0.409803713001819,0.000999000999000999,6.16763759071406e-14,0.001593969646425,1.62795456092769e-13
ADM2,0.158712252510814,0.00699300699300699,0.00048966502059857,0.0097309917239349,0.000710697822409371
ADM5,0.232492021875436,0.001998001998002,2.88898477962691e-05,0.00301347077029525,4.5599391284285e-05
ADNP,-0.265364891513688,0.000999000999000999,1.16440356434073e-16,0.001593969646425,3.53994778452018e-16
ADNP2,0.018396918800871,0.521478521478522,0.594255795178738,0.550553849363044,0.6260019830026
ADORA1,0.222481089028515,0.004995004995005,0.000673307876507554,0.00709222496931994,0.00096729332792575
ADORA2A,0.130610315933704,0.013986013986014,0.00683095460147505,0.0186845043754283,0.00905384491564145
ADORA2B,-0.503491738575682,0.000999000999000999,3.97567502671088e-24,0.001593969646425,1.76444684829229e-23
ADORA3,-0.978051850639361,0.000999000999000999,2.31761950087569e-126,0.001593969646425,1.10444225964647e-123
ADPRH,-0.438208779866815,0.000999000999000999,1.32738836699769e-82,0.001593969646425,8.07518125178329e-81
ADPRHL1,0.0330461647633706,0.372627372627373,0.407888451287418,0.403420982652334,0.442811601079658
ADRA1B,1.10851016947943,0.000999000999000999,1.65288137117001e-72,0.001593969646425,6.58676105995521e-71
ADRA2A,-0.192268263745213,0.004995004995005,0.00127928937098977,0.00709222496931994,0.00179590432502884
ADRA2B,-0.995729449100655,0.000999000999000999,1.15811628991797e-66,0.001593969646425,3.49482216564427e-65
ADRA2C,0.337113159770512,0.000999000999000999,1.85206181188782e-06,0.001593969646425,3.17809916617569e-06
